Player Hit,Total Bullets Fired,Power-ups Collected,Obstacles Destroyed,Dash Usage,Time Played
4,6,"{'laser': 0, 'spread': 0, 'reverse': 0, 'shield': 0}",1,2,9.349937677383423
8,19,"{'laser': 4, 'spread': 1, 'reverse': 0, 'shield': 1}",7,6,27.780239820480347
4,12,"{'laser': 0, 'spread': 0, 'reverse': 0, 'shield': 0}",5,7,18.092486143112183
1,4,"{'laser': 0, 'spread': 0, 'reverse': 1, 'shield': 0}",1,1,6.121989011764526
11,25,"{'laser': 1, 'spread': 2, 'reverse': 2, 'shield': 1}",17,7,37.997599840164185
3,15,"{'laser': 1, 'spread': 0, 'reverse': 0, 'shield': 0}",2,2,12.257739067077637
5,6,"{'laser': 0, 'spread': 0, 'reverse': 0, 'shield': 0}",2,0,8.584002256393433
7,36,"{'laser': 0, 'spread': 0, 'reverse': 2, 'shield': 1}",12,16,51.818058013916016
9,30,"{'laser': 3, 'spread': 1, 'reverse': 0, 'shield': 2}",10,9,42.12384779453278
6,10,"{'laser': 1, 'spread': 0, 'reverse': 1, 'shield': 1}",4,5,23.256879329681396
3,14,"{'laser': 0, 'spread': 1, 'reverse': 0, 'shield': 0}",2,3,15.678234338760376
12,28,"{'laser': 2, 'spread': 0, 'reverse': 1, 'shield': 0}",6,8,33.523478984832764
10,18,"{'laser': 1, 'spread': 2, 'reverse': 0, 'shield': 1}",8,12,26.74921321868985
5,7,"{'laser': 0, 'spread': 0, 'reverse': 0, 'shield': 1}",3,4,11.921294450759888
8,22,"{'laser': 2, 'spread': 1, 'reverse': 0, 'shield': 2}",9,10,41.39857924079895
7,18,"{'laser': 0, 'spread': 0, 'reverse': 1, 'shield': 1}",5,9,30.347244024276733
6,14,"{'laser': 1, 'spread': 2, 'reverse': 0, 'shield': 1}",7,7,25.28371298313141
9,21,"{'laser': 0, 'spread': 1, 'reverse': 0, 'shield': 0}",10,14,39.641205072402954
2,8,"{'laser': 1, 'spread': 0, 'reverse': 0, 'shield': 1}",3,3,10.471382856369019
11,24,"{'laser': 2, 'spread': 0, 'reverse': 1, 'shield': 1}",14,7,35.10801935100555
10,15,"{'laser': 1, 'spread': 2, 'reverse': 0, 'shield': 0}",12,5,29.67697477340698
6,9,"{'laser': 1, 'spread': 1, 'reverse': 0, 'shield': 0}",4,6,21.98627734184265
7,12,"{'laser': 0, 'spread': 1, 'reverse': 1, 'shield': 0}",9,4,34.87022626495361
4,9,"{'laser': 0, 'spread': 1, 'reverse': 0, 'shield': 2}",5,8,13.157835125923157
6,18,"{'laser': 2, 'spread': 0, 'reverse': 1, 'shield': 0}",4,6,20.19487452507019
8,24,"{'laser': 1, 'spread': 0, 'reverse': 0, 'shield': 1}",11,6,32.96430516195297
9,16,"{'laser': 1, 'spread': 2, 'reverse': 0, 'shield': 0}",10,8,37.824274540901186
12,27,"{'laser': 0, 'spread': 1, 'reverse': 1, 'shield': 2}",15,11,41.57761192321777
3,12,"{'laser': 0, 'spread': 0, 'reverse': 0, 'shield': 1}",4,2,10.453862428665161
7,28,"{'laser': 3, 'spread': 0, 'reverse': 1, 'shield': 0}",12,9,44.259968757629395
8,25,"{'laser': 0, 'spread': 1, 'reverse': 1, 'shield': 0}",10,7,39.38132655620575
7,21,"{'laser': 1, 'spread': 0, 'reverse': 0, 'shield': 1}",8,8,33.51662826538086
5,9,"{'laser': 2, 'spread': 1, 'reverse': 0, 'shield': 1}",6,4,18.65583550930023
9,20,"{'laser': 0, 'spread': 1, 'reverse': 1, 'shield': 0}",7,6,36.497512340545654
8,17,"{'laser': 2, 'spread': 1, 'reverse': 0, 'shield': 0}",9,10,28.684211134910583
10,23,"{'laser': 1, 'spread': 0, 'reverse': 0, 'shield': 1}",12,11,42.87672817707061
12,26,"{'laser': 0, 'spread': 0, 'reverse': 2, 'shield': 1}",16,9,49.25342917442322
3,11,"{'laser': 1, 'spread': 2, 'reverse': 0, 'shield': 0}",4,5,21.38982391357422
8,18,"{'laser': 0, 'spread': 1, 'reverse': 1, 'shield': 1}",10,13,40.90530323982239
7,23,"{'laser': 2, 'spread': 0, 'reverse': 1, 'shield': 0}",9,8,32.467209577560425
10,30,"{'laser': 0, 'spread': 0, 'reverse': 0, 'shield': 2}",11,6,29.058461904525757
6,8,"{'laser': 1, 'spread': 2, 'reverse': 1, 'shield': 0}",3,7,18.747469067573547
9,15,"{'laser': 1, 'spread': 0, 'reverse': 2, 'shield': 0}",8,4,45.16802382469177
4,6,"{'laser': 0, 'spread': 0, 'reverse': 0, 'shield': 0}",1,2,9.349937677383423
8,19,"{'laser': 4, 'spread': 1, 'reverse': 0, 'shield': 1}",7,6,27.780239820480347
4,12,"{'laser': 0, 'spread': 0, 'reverse': 0, 'shield': 0}",5,7,18.092486143112183
1,4,"{'laser': 0, 'spread': 0, 'reverse': 1, 'shield': 0}",1,1,6.121989011764526
11,25,"{'laser': 1, 'spread': 2, 'reverse': 2, 'shield': 1}",17,7,37.997599840164185
3,15,"{'laser': 1, 'spread': 0, 'reverse': 0, 'shield': 0}",2,2,12.257739067077637
5,6,"{'laser': 0, 'spread': 0, 'reverse': 0, 'shield': 0}",2,0,8.584002256393433
7,36,"{'laser': 0, 'spread': 0, 'reverse': 2, 'shield': 1}",12,16,51.818058013916016
